pl_name,ra,dec,sy_dist,sy_plx
Kepler-1930 b,297.5771450,40.0276768,275.6940000,3.5983200
Kepler-1931 b,290.8723061,43.3330104,620.0910000,1.5841200
Kepler-1932 b,285.3314903,41.0638435,713.7330000,1.3726100
Kepler-1933 b,283.9950850,39.9170121,328.0070000,3.0199400
Kepler-1934 b,290.9193265,37.2871677,428.5140000,2.3050400
Kepler-1935 b,296.4037783,39.7227036,904.7020000,1.0767800
Kepler-1936 b,290.7300141,44.8361280,871.0960000,1.1191800
Kepler-1937 b,290.6583922,40.7785383,905.0690000,1.0762800
Kepler-1938 b,299.3518920,41.1957285,421.1520000,2.3459400
Kepler-1939 b,285.6899312,40.9946659,189.8330000,5.2388400
Kepler-194 b,291.9714290,47.8640498,1097.9700000,0.8822410
Kepler-194 c,291.9714290,47.8640498,1097.9700000,0.8822410
Kepler-194 d,291.9714290,47.8640498,1097.9700000,0.8822410
Kepler-1940 b,291.2042027,45.2383344,798.5950000,1.2237400
Kepler-1941 b,296.6270184,49.3538910,1494.3900000,0.6406060
Kepler-1942 b,294.9805416,44.4252384,842.4920000,1.1589100
Kepler-1943 b,293.3182976,41.1166697,1004.5500000,0.9668430
Kepler-1944 b,296.5105045,39.1732645,1076.4800000,0.9013740
Kepler-1946 b,282.3355387,42.8453417,1002.1200000,0.9701910
Kepler-1947 b,296.1040313,42.3425818,468.7710000,2.1046000
Kepler-1948 b,287.3640804,47.7853043,193.9030000,5.1287100
Kepler-1949 b,293.5422586,43.0260555,2617.3500000,0.3530990
Kepler-195 b,288.1209339,47.9666141,652.0510000,1.5049500
